contenu_textuel_extrait,contenu_textuel_nettoye,tokens
The Role of Telomerase in Breast Cancer's Response to Therapy - PubMed,the role of telomerase in breast cancers response to therapy pubmed,"['the', 'role', 'of', 'telomerase', 'in', 'breast', 'cancers', 'response', 'to', 'therapy', 'pubmed']"
This site needs JavaScript to work properly. Please enable it to take advantage of the complete set of features!,this site needs javascript to work properly please enable it to take advantage of the complete set of features,"['this', 'site', 'needs', 'javascript', 'to', 'work', 'properly', 'please', 'enable', 'it', 'to', 'take', 'advantage', 'of', 'the', 'complete', 'set', 'of', 'features']"
"Clipboard, Search History, and several other advanced features are temporarily unavailable.",clipboard search history and several other advanced features are temporarily unavailable,"['clipboard', 'search', 'history', 'and', 'several', 'other', 'advanced', 'features', 'are', 'temporarily', 'unavailable']"
Skip to main page content,skip to main page content,"['skip', 'to', 'main', 'page', 'content']"
An official website of the United States government,an official website of the united states government,"['an', 'official', 'website', 'of', 'the', 'united', 'states', 'government']"
Here's how you know,heres how you know,"['heres', 'how', 'you', 'know']"
The .gov means it’s official.,the gov means its official,"['the', 'gov', 'means', 'its', 'official']"
Federal government websites often end in .gov or .mil. Before,federal government websites often end in gov or mil before,"['federal', 'government', 'websites', 'often', 'end', 'in', 'gov', 'or', 'mil', 'before']"
"sharing sensitive information, make sure you’re on a federal",sharing sensitive information make sure youre on a federal,"['sharing', 'sensitive', 'information', 'make', 'sure', 'youre', 'on', 'a', 'federal']"
government site.,government site,"['government', 'site']"
The site is secure.,the site is secure,"['the', 'site', 'is', 'secure']"
The https:// ensures that you are connecting to the,the ensures that you are connecting to the,"['the', 'ensures', 'that', 'you', 'are', 'connecting', 'to', 'the']"
official website and that any information you provide is encrypted,official website and that any information you provide is encrypted,"['official', 'website', 'and', 'that', 'any', 'information', 'you', 'provide', 'is', 'encrypted']"
and transmitted securely.,and transmitted securely,"['and', 'transmitted', 'securely']"
Log in,log in,"['log', 'in']"
Show account info,show account info,"['show', 'account', 'info']"
Close,close,['close']
Account,account,['account']
Logged in as:,logged in as,"['logged', 'in', 'as']"
username,username,['username']
Dashboard,dashboard,['dashboard']
Publications,publications,['publications']
Account settings,account settings,"['account', 'settings']"
Log out,log out,"['log', 'out']"
Access keys,access keys,"['access', 'keys']"
NCBI Homepage,ncbi homepage,"['ncbi', 'homepage']"
MyNCBI Homepage,myncbi homepage,"['myncbi', 'homepage']"
Main Content,main content,"['main', 'content']"
Main Navigation,main navigation,"['main', 'navigation']"
Search:,search,['search']
Search,search,['search']
Advanced,advanced,['advanced']
Clipboard,clipboard,['clipboard']
User Guide,user guide,"['user', 'guide']"
Save,save,['save']
Email,email,['email']
Send to,send to,"['send', 'to']"
Clipboard,clipboard,['clipboard']
My BibliographyCollectionsCitation manager,my bibliographycollectionscitation manager,"['my', 'bibliographycollectionscitation', 'manager']"
Display options,display options,"['display', 'options']"
Display options,display options,"['display', 'options']"
Format,format,['format']
Abstract,abstract,['abstract']
PubMed,pubmed,['pubmed']
PMID,pmid,['pmid']
Save citation to file,save citation to file,"['save', 'citation', 'to', 'file']"
Format:,format,['format']
Summary (text),summary text,"['summary', 'text']"
PubMed,pubmed,['pubmed']
PMID,pmid,['pmid']
Abstract (text),abstract text,"['abstract', 'text']"
CSV,csv,['csv']
Create file,create file,"['create', 'file']"
Cancel,cancel,['cancel']
Email citation,email citation,"['email', 'citation']"
Subject:,subject,['subject']
1 selected item: 36361634 - PubMed,1 selected item 36361634 pubmed,"['1', 'selected', 'item', '36361634', 'pubmed']"
To:,to,['to']
From:,from,['from']
Format:,format,['format']
Summary,summary,['summary']
Summary (text),summary text,"['summary', 'text']"
Abstract,abstract,['abstract']
Abstract (text),abstract text,"['abstract', 'text']"
MeSH and other data,mesh and other data,"['mesh', 'and', 'other', 'data']"
Send email,send email,"['send', 'email']"
Cancel,cancel,['cancel']
Add to Collections,add to collections,"['add', 'to', 'collections']"
Create a new collection,create a new collection,"['create', 'a', 'new', 'collection']"
Add to an existing collection,add to an existing collection,"['add', 'to', 'an', 'existing', 'collection']"
Name your collection:,name your collection,"['name', 'your', 'collection']"
Name must be less than 100 characters,name must be less than 100 characters,"['name', 'must', 'be', 'less', 'than', '100', 'characters']"
Choose a collection:,choose a collection,"['choose', 'a', 'collection']"
Unable to load your collection due to an error,unable to load your collection due to an error,"['unable', 'to', 'load', 'your', 'collection', 'due', 'to', 'an', 'error']"
Please try again,please try again,"['please', 'try', 'again']"
Add,add,['add']
Cancel,cancel,['cancel']
Add to My Bibliography,add to my bibliography,"['add', 'to', 'my', 'bibliography']"
My Bibliography,my bibliography,"['my', 'bibliography']"
Unable to load your delegates due to an error,unable to load your delegates due to an error,"['unable', 'to', 'load', 'your', 'delegates', 'due', 'to', 'an', 'error']"
Please try again,please try again,"['please', 'try', 'again']"
Add,add,['add']
Cancel,cancel,['cancel']
Your saved search,your saved search,"['your', 'saved', 'search']"
Name of saved search:,name of saved search,"['name', 'of', 'saved', 'search']"
Search terms:,search terms,"['search', 'terms']"
Test search terms,test search terms,"['test', 'search', 'terms']"
Would you like email updates of new search results?,would you like email updates of new search results,"['would', 'you', 'like', 'email', 'updates', 'of', 'new', 'search', 'results']"
Saved Search Alert Radio Buttons,saved search alert radio buttons,"['saved', 'search', 'alert', 'radio', 'buttons']"
Yes,yes,['yes']
No,no,['no']
Email:,email,['email']
(change),change,['change']
Frequency:,frequency,['frequency']
Monthly,monthly,['monthly']
Weekly,weekly,['weekly']
Daily,daily,['daily']
Which day?,which day,"['which', 'day']"
The first Sunday,the first sunday,"['the', 'first', 'sunday']"
The first Monday,the first monday,"['the', 'first', 'monday']"
The first Tuesday,the first tuesday,"['the', 'first', 'tuesday']"
The first Wednesday,the first wednesday,"['the', 'first', 'wednesday']"
The first Thursday,the first thursday,"['the', 'first', 'thursday']"
The first Friday,the first friday,"['the', 'first', 'friday']"
The first Saturday,the first saturday,"['the', 'first', 'saturday']"
The first day,the first day,"['the', 'first', 'day']"
The first weekday,the first weekday,"['the', 'first', 'weekday']"
Which day?,which day,"['which', 'day']"
Sunday,sunday,['sunday']
Monday,monday,['monday']
Tuesday,tuesday,['tuesday']
Wednesday,wednesday,['wednesday']
Thursday,thursday,['thursday']
Friday,friday,['friday']
Saturday,saturday,['saturday']
Report format:,report format,"['report', 'format']"
Summary,summary,['summary']
Summary (text),summary text,"['summary', 'text']"
Abstract,abstract,['abstract']
Abstract (text),abstract text,"['abstract', 'text']"
PubMed,pubmed,['pubmed']
Send at most:,send at most,"['send', 'at', 'most']"
1 item,1 item,"['1', 'item']"
5 items,5 items,"['5', 'items']"
10 items,10 items,"['10', 'items']"
20 items,20 items,"['20', 'items']"
50 items,50 items,"['50', 'items']"
100 items,100 items,"['100', 'items']"
200 items,200 items,"['200', 'items']"
Send even when there aren't any new results,send even when there arent any new results,"['send', 'even', 'when', 'there', 'arent', 'any', 'new', 'results']"
Optional text in email:,optional text in email,"['optional', 'text', 'in', 'email']"
Save,save,['save']
Cancel,cancel,['cancel']
Create a file for external citation management software,create a file for external citation management software,"['create', 'a', 'file', 'for', 'external', 'citation', 'management', 'software']"
Create file,create file,"['create', 'file']"
Cancel,cancel,['cancel']
Your RSS Feed,your rss feed,"['your', 'rss', 'feed']"
Name of RSS Feed:,name of rss feed,"['name', 'of', 'rss', 'feed']"
Number of items displayed:,number of items displayed,"['number', 'of', 'items', 'displayed']"
5,5,['5']
10,10,['10']
15,15,['15']
20,20,['20']
50,50,['50']
100,100,['100']
Create RSS,create rss,"['create', 'rss']"
Cancel,cancel,['cancel']
RSS Link,rss link,"['rss', 'link']"
Copy,copy,['copy']
Full text links,full text links,"['full', 'text', 'links']"
MDPI,mdpi,['mdpi']
Free PMC article,free pmc article,"['free', 'pmc', 'article']"
Full text links,full text links,"['full', 'text', 'links']"
ActionsCiteCollectionsAdd to CollectionsCreate a new collectionAdd to an existing collection,actionscitecollectionsadd to collectionscreate a new collectionadd to an existing collection,"['actionscitecollectionsadd', 'to', 'collectionscreate', 'a', 'new', 'collectionadd', 'to', 'an', 'existing', 'collection']"
Name your collection:,name your collection,"['name', 'your', 'collection']"
Name must be less than 100 characters,name must be less than 100 characters,"['name', 'must', 'be', 'less', 'than', '100', 'characters']"
Choose a collection:,choose a collection,"['choose', 'a', 'collection']"
Unable to load your collection due to an errorPlease try again,unable to load your collection due to an errorplease try again,"['unable', 'to', 'load', 'your', 'collection', 'due', 'to', 'an', 'errorplease', 'try', 'again']"
Add,add,['add']
Cancel,cancel,['cancel']
Display options,display options,"['display', 'options']"
Display options,display options,"['display', 'options']"
Format,format,['format']
AbstractPubMedPMID,abstractpubmedpmid,['abstractpubmedpmid']
Share,share,['share']
Permalink,permalink,['permalink']
Copy,copy,['copy']
Page navigation,page navigation,"['page', 'navigation']"
Title & authors,title authors,"['title', 'authors']"
Abstract,abstract,['abstract']
Conflict of interest statement,conflict of interest statement,"['conflict', 'of', 'interest', 'statement']"
Figures,figures,['figures']
Similar articles,similar articles,"['similar', 'articles']"
Cited by,cited by,"['cited', 'by']"
References,references,['references']
Publication types,publication types,"['publication', 'types']"
MeSH terms,mesh terms,"['mesh', 'terms']"
Substances,substances,['substances']
Related information,related information,"['related', 'information']"
Grants and funding,grants and funding,"['grants', 'and', 'funding']"
LinkOut - more resources,linkout more resources,"['linkout', 'more', 'resources']"
Title & authors,title authors,"['title', 'authors']"
Abstract,abstract,['abstract']
Conflict of interest statement,conflict of interest statement,"['conflict', 'of', 'interest', 'statement']"
Figures,figures,['figures']
Similar articles,similar articles,"['similar', 'articles']"
Cited by,cited by,"['cited', 'by']"
References,references,['references']
Publication types,publication types,"['publication', 'types']"
MeSH terms,mesh terms,"['mesh', 'terms']"
Substances,substances,['substances']
Related information,related information,"['related', 'information']"
Grants and funding,grants and funding,"['grants', 'and', 'funding']"
LinkOut - more resources,linkout more resources,"['linkout', 'more', 'resources']"
Review,review,['review']
Int J Mol Sci,int j mol sci,"['int', 'j', 'mol', 'sci']"
Actions,actions,['actions']
Search in PubMed,search in pubmed,"['search', 'in', 'pubmed']"
Search in NLM Catalog,search in nlm catalog,"['search', 'in', 'nlm', 'catalog']"
Add to Search,add to search,"['add', 'to', 'search']"
. 2022 Oct 25;23(21):12844.,2022 oct 25232112844,"['2022', 'oct', '25232112844']"
doi: 10.3390/ijms232112844.,doi 103390ijms232112844,"['doi', '103390ijms232112844']"
The Role of Telomerase in Breast Cancer's Response to Therapy,the role of telomerase in breast cancers response to therapy,"['the', 'role', 'of', 'telomerase', 'in', 'breast', 'cancers', 'response', 'to', 'therapy']"
Eliza Judasz,eliza judasz,"['eliza', 'judasz']"
1,1,['1']
", Natalia Lisiak",natalia lisiak,"['natalia', 'lisiak']"
1,1,['1']
", Przemysław Kopczyński",przemysław kopczyński,"['przemysław', 'kopczyński']"
2,2,['2']
", Magdalena Taube",magdalena taube,"['magdalena', 'taube']"
1,1,['1']
", Błażej Rubiś",błażej rubiś,"['błażej', 'rubiś']"
1,1,['1']
Affiliations,affiliations,['affiliations']
Expand,expand,['expand']
Affiliations,affiliations,['affiliations']
"1 Department of Clinical Chemistry and Molecular Diagnostics, Poznan University of Medical Sciences, 60-806 Poznan, Poland.",1 department of clinical chemistry and molecular diagnostics poznan university of medical sciences 60806 poznan poland,"['1', 'department', 'of', 'clinical', 'chemistry', 'and', 'molecular', 'diagnostics', 'poznan', 'university', 'of', 'medical', 'sciences', '60806', 'poznan', 'poland']"
"2 Centre for Orthodontic Mini-Implants at the Department and Clinic of Maxillofacial Orthopedics and Orthodontics, Poznan University of Medical Sciences, 60-812 Poznan, Poland.",2 centre for orthodontic miniimplants at the department and clinic of maxillofacial orthopedics and orthodontics poznan university of medical sciences 60812 poznan poland,"['2', 'centre', 'for', 'orthodontic', 'miniimplants', 'at', 'the', 'department', 'and', 'clinic', 'of', 'maxillofacial', 'orthopedics', 'and', 'orthodontics', 'poznan', 'university', 'of', 'medical', 'sciences', '60812', 'poznan', 'poland']"
PMID:,pmid,['pmid']
36361634,36361634,['36361634']
PMCID:,pmcid,['pmcid']
PMC9654063,pmc9654063,['pmc9654063']
DOI:,doi,['doi']
10.3390/ijms232112844,103390ijms232112844,['103390ijms232112844']
Item in Clipboard,item in clipboard,"['item', 'in', 'clipboard']"
Review,review,['review']
The Role of Telomerase in Breast Cancer's Response to Therapy,the role of telomerase in breast cancers response to therapy,"['the', 'role', 'of', 'telomerase', 'in', 'breast', 'cancers', 'response', 'to', 'therapy']"
Eliza Judasz et al.,eliza judasz et al,"['eliza', 'judasz', 'et', 'al']"
Int J Mol Sci.,int j mol sci,"['int', 'j', 'mol', 'sci']"
2022.,2022,['2022']
Show details,show details,"['show', 'details']"
Display options,display options,"['display', 'options']"
Display options,display options,"['display', 'options']"
Format,format,['format']
Abstract,abstract,['abstract']
PubMed,pubmed,['pubmed']
PMID,pmid,['pmid']
Int J Mol Sci,int j mol sci,"['int', 'j', 'mol', 'sci']"
Actions,actions,['actions']
Search in PubMed,search in pubmed,"['search', 'in', 'pubmed']"
Search in NLM Catalog,search in nlm catalog,"['search', 'in', 'nlm', 'catalog']"
Add to Search,add to search,"['add', 'to', 'search']"
. 2022 Oct 25;23(21):12844.,2022 oct 25232112844,"['2022', 'oct', '25232112844']"
doi: 10.3390/ijms232112844.,doi 103390ijms232112844,"['doi', '103390ijms232112844']"
Authors,authors,['authors']
Eliza Judasz,eliza judasz,"['eliza', 'judasz']"
1,1,['1']
", Natalia Lisiak",natalia lisiak,"['natalia', 'lisiak']"
1,1,['1']
", Przemysław Kopczyński",przemysław kopczyński,"['przemysław', 'kopczyński']"
2,2,['2']
", Magdalena Taube",magdalena taube,"['magdalena', 'taube']"
1,1,['1']
", Błażej Rubiś",błażej rubiś,"['błażej', 'rubiś']"
1,1,['1']
Affiliations,affiliations,['affiliations']
"1 Department of Clinical Chemistry and Molecular Diagnostics, Poznan University of Medical Sciences, 60-806 Poznan, Poland.",1 department of clinical chemistry and molecular diagnostics poznan university of medical sciences 60806 poznan poland,"['1', 'department', 'of', 'clinical', 'chemistry', 'and', 'molecular', 'diagnostics', 'poznan', 'university', 'of', 'medical', 'sciences', '60806', 'poznan', 'poland']"
"2 Centre for Orthodontic Mini-Implants at the Department and Clinic of Maxillofacial Orthopedics and Orthodontics, Poznan University of Medical Sciences, 60-812 Poznan, Poland.",2 centre for orthodontic miniimplants at the department and clinic of maxillofacial orthopedics and orthodontics poznan university of medical sciences 60812 poznan poland,"['2', 'centre', 'for', 'orthodontic', 'miniimplants', 'at', 'the', 'department', 'and', 'clinic', 'of', 'maxillofacial', 'orthopedics', 'and', 'orthodontics', 'poznan', 'university', 'of', 'medical', 'sciences', '60812', 'poznan', 'poland']"
PMID:,pmid,['pmid']
36361634,36361634,['36361634']
PMCID:,pmcid,['pmcid']
PMC9654063,pmc9654063,['pmc9654063']
DOI:,doi,['doi']
10.3390/ijms232112844,103390ijms232112844,['103390ijms232112844']
Item in Clipboard,item in clipboard,"['item', 'in', 'clipboard']"
Full text links,full text links,"['full', 'text', 'links']"
CiteDisplay options,citedisplay options,"['citedisplay', 'options']"
Display options,display options,"['display', 'options']"
Format,format,['format']
AbstractPubMedPMID,abstractpubmedpmid,['abstractpubmedpmid']
Abstract,abstract,['abstract']
